地名名稱,漢語拼音,通用拼音,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名意義,地名年代時間(起),地名年代時間(迄),地名類型,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,X坐標,Y坐標
天祥街,Tianxiang St.,,,新北市,新莊區,丹鳳里,街道,,,街道,,,,街道,,,,
文藝路,Wenyi Rd.,,,新北市,新莊區,中原里,街道,,,街道,,,,街道,,,,
四維路,Siwei Rd.,,,新北市,新莊區,四維里,街道,,,街道,,,,街道,,,,
民本街,Minben St.,,,新北市,新莊區,民本里,街道,,,街道,,,,街道,,,,
民生街,Minsheng St.,,,新北市,新莊區,中美里,街道,,,街道,,,,街道,,,,
民全街,Minquan St.,,,新北市,新莊區,民全里,街道,,,街道,,,,街道,,,,
堤外便道,Tiwai Access Rd.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
富貴街,Fugui St.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
光華街,Guanghua St.,,,新北市,新莊區,光華里,街道,,,街道,,,,街道,,,,
成功街,Chenggong St.,,,新北市,新莊區,成德里,街道,,,街道,,,,街道,,,,
成德街,Chengde St.,,,新北市,新莊區,成德里,街道,,,街道,,,,街道,,,,
自由街,Ziyou St.,,,新北市,新莊區,自立里,街道,,,街道,,,,街道,,,,
自立街,Zili St.,,,新北市,新莊區,自立里,街道,,,街道,,,,街道,,,,
二十張路,Ershizhang Rd.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
二城路,Ercheng Rd.,,110號公路,新北市,新店區,,街道,,,街道,,,,街道,,,,
文化路,Wenhua Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
水源街,Shuiyuan St.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
幸福路,Xingfu Rd.,,北66,新北市,新莊區,立廷里,街道,,,街道,,,,街道,,,,
忠孝街,Zhongxiao St.,,,新北市,新莊區,忠孝里,街道,,,街道,,,,街道,,,,
民樂街,Minle St.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
民權路,Minquan Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
永元路,Yonguan Rd.,,北94,新北市,永和區,,街道,,,街道,,,,街道,,,,
永平路,Yongping Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
百齡一路,Bailing 1st Rd.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
竹林路,Zhulin Rd.,,油車坑橋,新北市,新店區,,街道,,,街道,,,,街道,,,,
林森路,Linsen Rd.,,北94,新北市,永和區,,街道,,,街道,,,,街道,,,,
保平路,Baoping Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
長青街,Changqing St.,,,新北市,新莊區,中美里,街道,,,街道,,,,街道,,,,
青山路,Qingshan Rd.,,,新北市,新莊區,雙鳳里,街道,,,街道,,,,街道,,,,
保安街,Bao'an St.,,,新北市,新莊區,西盛里,街道,,,街道,,,,街道,,,,
建中街,Jianzhong St.,,,新北市,新莊區,文聖里,街道,,,街道,,,,街道,,,,
建安街,Jian'an St.,,,新北市,新莊區,建安里,街道,,,街道,,,,街道,,,,
秀峰街,Xioufeng St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
秀朗路,Xioulang Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
和平街,Heping St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
和平路,Heping Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
國中路,Guozhong Rd. ,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
國光路,Guoguang Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
得和路,Dehe Rd.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
博愛街,Bo'ai St.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
板南路,Bannan Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
金城路,Jincheng Rd.,,北88,新北市,中和區,,街道,,,街道,,,,街道,,,,
保平路,Baoping Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
大榮路,Darong Rd.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
大學街,Daxue St.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
大豐路,Dafeng Rd.,,,新北市,新店區,,街道,,,街道,,,,街道,,,,
建六路,Jianliu Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
建康路,Jiankang Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
重慶路,Zhongqing Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
警光街,Jingguang St.,,,新北市,永和區,,街道,,,街道,,,,街道,,,,
八德街,Bade St.,,,新北市,新莊區,八德里,街道,,,街道,,,,街道,,,,
興德路,Xingde Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
錦通街,Jintong St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
頭前路,Touqian Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
連城路,Liancheng Rd.,,北88,新北市,中和區,,街道,,,街道,,,,街道,,,,
連勝街,Liansheng St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
勝利路,Shengli Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
八里-新店快速道路,Bali-Xindian Expressway,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
三民路,Sanmin Rd.,,北91,新北市,中和區,,街道,,,街道,,,,街道,,,,
大仁街,Daren St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
泰安街,Tai'an St.,,,新北市,新莊區,立功里,街道,,,街道,,,,街道,,,,
泰順街,Taishun St.,,,新北市,新莊區,立功里,街道,,,街道,,,,街道,,,,
中和路,Zhonghe Rd.,,北99、縣111,新北市,中和區,,街道,,,街道,,,,街道,,,,
中興街,Zhongxing St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
五權街,Wuquan St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
圓山路,Yuanshan Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
圓通路,Yuantong Rd.,,北90,新北市,中和區,,街道,,,街道,,,,街道,,,,
新北環河快速道路,Xinbeihuanhe Expressway,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
新民街,Xinmin St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
明德街,Mingde St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
東西向快速公路八里新店線,East-West Expressway Bali Xindian Route,,台64,新北市,三重區,,街道,,,街道,,,,街道,,,,
民生路,Minsheng Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
民安街,Min'an St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
民有街,Minyou St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
長壽街,Changshou St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
長榮街,Changlong St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
長樂街,Changle St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
長興街,Changxing St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
信義西街,Xinyi West St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
信義街,Xinyi St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
中信街,Zhongxin St.,,,新北市,新莊區,中原里,街道,,,街道,,,,街道,,,,
中原東路,Zhongyuan East Rd.,,北63-1,新北市,新莊區,頭前里,街道,,,街道,,,,街道,,,,
中原路,Zhongyuan Rd.,,北63-1,新北市,新莊區,中原里,街道,,,街道,,,,街道,,,,
中泰街,Zhongtai St.,,,新北市,新莊區,中全里,街道,,,街道,,,,街道,,,,
中富路,Zhongfu Rd.,,,新北市,新莊區,中隆里,街道,,,街道,,,,街道,,,,
國隆路,Guolong Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
捷運路,Jieyun Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
永和路,Yonghe Rd.,,北92、縣111,新北市,中和區,,街道,,,街道,,,,街道,,,,
永貞路,Yongzhen Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
中山高速公路,Zhongshan Highway ,,國1,新北市,三重區,,街道,,,街道,,,,街道,,,,
中山路,Zhongshan Rd.,,台1,新北市,三重區,,街道,,,街道,,,,街道,,,,
頂崁街,Dingkan St.,,北65、北64,新北市,三重區,,街道,,,街道,,,,街道,,,,
堤內道路,Tinei Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
堤外便道,Tiwai Access road,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
富華街,Fuhua St.,,,新北市,三重區,富貴里,街道,,,街道,,,,街道,,,,
中興北街,Zhongxing North St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
中興南街,Zhongxing South St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
五谷王北街,Wuguwang North St.,,北65、北66,新北市,三重區,,街道,,,街道,,,,街道,,,,
五谷王南街,Wuguwang South St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
五華街,Wuhua St.,,北62,新北市,三重區,,街道,,,街道,,,,街道,,,,
德光路,Deguang Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
橋安街,Qiao'an St.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
仁厚街,Renhou St.,,,新北市,三重區,瑞德里、順德里,街道,,,街道,,,,街道,,,,
仁政街,Renzheng St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
仁美街,Renmei St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
集成路,Jicheng Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
集勇街,Jiyong St.,,,新北市,三重區,碧華里,街道,,,街道,,,,街道,,,,
華順街,Huashun St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
華福街,Huafu St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
分子尾街,Fenziwei St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
文化北路,Wenhua North Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
文化南路,Wenhua South Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
新府路,Xinfu Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
新海路,Xinhai Rd.,,縣106,新北市,板橋區,,街道,,,街道,,,,街道,,,,
新站路,Xinzhan Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
安和路,Anhe Rd.,,,新北市,中和區,,街道,,,街道,,,,街道,,,,
安樂路,Anle Rd.,,北95,新北市,中和區,,街道,,,街道,,,,街道,,,,
稚暉街,Zhihui St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
萬安街,Wan'an St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
萬板路,Wanban Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民生街,Minsheng St.,,,新北市,三重區,重陽里,街道,,,街道,,,,街道,,,,
民族街,Minzu St.,,,新北市,三重區,福民里,街道,,,街道,,,,街道,,,,
永安北路,Yong'an North Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
永春街,Yongchun St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
西安路,Xi'an Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
西門街,Ximen St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
滿平街,Manping St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
漢生西路,Hansheng West Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
漢生東路,Hansheng East Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
仁愛路,Ren'ai Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
介壽街,Jieshou St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
溪尾街,Xiwei St.,,北65,新北市,三重區,,街道,,,街道,,,,街道,,,,
萬全街,Wanquan St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
萬壽街,Wanshou St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
過圳街,Guozun St.,,,新北市,三重區,過田里,街道,,,街道,,,,街道,,,,
忠孝路,Zhongxiao Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
忠義巷,Zhongyi Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
明德街,Mingde St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
篤行路,Duxing Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
興義巷,Xingyi Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
金華街,Jinhua St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
長安街,Chang'an St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
長江路,Changjiang Rd.,,北91,新北市,板橋區,,街道,,,街道,,,,街道,,,,
安慶街,Anqing St.,,,新北市,三重區,安慶里、幸福里,街道,,,街道,,,,街道,,,,
安樂街,Anle St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
安興街,Anxing St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
成功路,Chenggong Rd.,,縣104,新北市,三重區,,街道,,,街道,,,,街道,,,,
竹圍仔街,Zhuweizi St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
後埔街,Houpu St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
後菜園街,Houcaiuan St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
英士路,Yingshi Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
重慶路,Zhongqing Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
三信路,Sanxin Rd.,,,新北市,三重區,富貴里,街道,,,街道,,,,街道,,,,
三張街,Sanzhang St.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
三陽路,Sanyang Rd.,,,新北市,三重區,,街道,,,街道,,,,街道,,,,
力行二巷,Lixing 2nd Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
力行三巷,Lixing 3rd Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
國光路,Guoguang Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
國泰街,Guotai St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
國慶路,Guoqing Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
大豐街,Dafeng St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
大觀路,Daguan Rd.,,縣道114線,新北市,板橋區,,街道,,,街道,,,,本區聯外幹道：板橋─樹林館前路至浮洲橋長3400m浮洲橋至樹林鎮界長760m，寬19m大觀路3段及50巷道路計劃寬度19-46m王庴：舊時有十幾戶王姓人家，故稱王庴(今大觀路2段174巷底) 142巷附近三抱竹。,,,,
石碇東街,Shiding East St.,Shihding East St.,,新北市,石碇區,石碇里,,日治時期,迄今,街道,閩南語,,,石碇東街的繁盛主要拜煤礦開採所賜，日治以降直到民國六○年代的礦業發展，為當地居民帶來新的機會，投入礦業工作的礦工，由幾千人至上萬人，飲食及娛樂等周邊行業也因需求增加而興起，因而促成了東街的繁榮，時人稱之為「小迪化街」。,據地方耆老指出：日治時期，日本兵騎馬或乘坐馬車，到了東街都必須下馬步行穿過東街。石碇東街又稱「隧道街」或「亭仔腳」，前者是形容走過東街彷若穿過隧道；後者則是指曬不到太陽的東街有如不見天街。,,316639.783,2764952.869
蓬萊路,Penglai Rd.,Penglai Rd.,,新北市,五股區,德音里,以蓬來坑溪命名之道路,1990,迄今,街道,,,,1990年都市計畫開闢之新道路，因貫穿蓬萊坑段區域經五股鄉民代表會命名之。,,,,
金包里街,Jinbaoli St.,Jinbaoli St.,,新北市,金山區,大同里,平埔社名Kitapari;荷蘭戶口表中tappare凱達格蘭地名前加ki即成Kitappare金包里。(~洪敏麟),n,,街道,,,,為北海岸最古老的街道，相傳明鄭時期鄭軍北伐時曾於此開墾，至清雍正時已成街肆，乙末日人入台，因民眾抗日殺害日九名憲兵，日人遂焚燬民房、殺害無孤，後居民重建均惟持舊有風貌，金包里街的發展是由慈護宮為起點往北發展，今日的金包里街仍保有原先的建築，因希望為老街第二春而拓寬道路，使部份舊式民房須修建，但在空間的視覺上仍保有昔日風貌，其中以王家的中藥舖保留最完整。在金包里街有一攤，聞名全台的「廟口鴨肉」位在奉祀開漳聖王的廣安宮前，值得前往大快朵頤一番。,,,,
四川路,Sichuan Rd.,,省台3線、縣116,新北市,板橋區,,街道,,,街道,,,,板橋市聯外幹道承接文化路亦為板橋通往土城、中南部公路線之一段(台三線)的主要聯外幹道。館前路至華興街，長260m，寬18m。華興街至信義路，長970 m，寬20 m。信義路至亞東工專，長480 m(有130 m在土城)，寬25 m亞東工專至橋頭路，長270 m，寬30 m橋頭路至土城市界，長90 m，寬35 m由成都路到忠孝路之間的四川路為板橋地區著名「傢俱街」。,,,,
四維路,Siwei Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰七巷,Zhengtai 7th Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰二巷,Zhengtai 2nd Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰三巷,Zhengtai 3rd Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰五巷,Zhengtai 5th Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰六巷,Zhengtai 6th Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正泰四巷,Zhengtai 4th Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
正義街,Zhengyi St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民生街,Minsheng St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民生路,Minsheng Rd.,,縣道106甲線、台64,新北市,板橋區,,街道,,,街道,,,,今民生路三段，大漢橋下。早期在蕭姓在設莊，對開發江子翠而言，時期較其他晚，故稱新竹圍仔腳。特一號道路（縣一○六甲線）民國78年10月民生高架橋多目標使用工程動工，自大漢橋收費站前100m處沿線跨文化路、中山路段立體交叉高架道路工程（全長1495m，其中引道100m高架1395m主橋寬31m，引橋寬28m）。民生路自大漢橋至中山路長2040m寬80m，中山路至中和市界長690m寬40m。,,,,
民安街,Min'an St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民有街,Minyou St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民享街,Minxiang St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民治街,Minzhi St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民族路,Minzu Rd.,,縣106線,新北市,板橋區,,街道,,,街道,,,,民權路至區運路段，長190m，寬40m。區運路至中和市交界，長650m，寬24m。,,,,
民德路,Minde Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
民權路,Minquan Rd.,,106號公路、省道台3線,新北市,板橋區,,街道,,,街道,,,,中正路至文化路段，長520m，寬18m。中山路至民族路段，長125m，寬40m。'文化路至中山路長350m，寬40m。,,,,
永和路,Yonghe Rd.,,北92,新北市,板橋區,,街道,,,街道,,,,街道,,,,
永豐街,Yongfeng St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
玉平巷,Yuping Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
田單街,Tiandan St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光正街,Guangzheng St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光明街,Guangming St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光武街,Guangwu St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光復街,Guangfu St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光華街,Guanghua St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光榮巷,Guangrong Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
光環路,Guanghuan Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
存德街,Cunde St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
安樂巷,Anle Lane,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
成功路,Chenggong Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
成都街,Chengdou St.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
成都路,Chengdou Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
江寧路,Jiangning Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
自由路,Ziyou Rd.,,,新北市,板橋區,,街道,,,街道,,,,街道,,,,
彰德街,Zhangde St.,,北78號公路,新北市,樹林區,西園里,街道,,,街道,,,,原彰德街，西圳街二段123巷（屬西園里、北園里交接處）至鶯歌鎮南靖里及三峽鎮龍埔里交接處。現今，自西圳街二段123巷至石頭溪東西支線交會處，改為西圳街；從石頭溪東西支線交會處至鶯歌鎮南靖里及三峽鎮龍埔里交接處，改為柑園街二段。民國99年12月25日臺北縣升格為直轄市，原鄉鎮市改制為區。,,,,
彰德路,Zhangde Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
滿平街,Manping St.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
福爾摩莎高速公路,Fu'ermosha Expressway,,國3,新北市,樹林區,,街道,,,街道,,,,街道,,,,
福興街,Fuxing St.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
德和巷,Dehe Lane,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
德和路,Dehe Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
學士路,Xueshi Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
學成路,Xuecheng Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
學府路,Xuefu Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
學林路,Xuelin Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
學勤路,Xueqin Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
樹中二街,Shuzhong 2nd St.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
樹林外環道,Shulin Outer Ring Road ,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
樹武街,Shuwu St.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
龍安路,Long'an Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
龍埔路,Longpu Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
環河路,Huanhe Rd.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
豐林街,Fenglin St.,,,新北市,樹林區,,街道,,,街道,,,,街道,,,,
寶園路,Baoyuan Rd.,,,新北市,樹林區,柑園里,街道,,,街道,,,,街道,,,,
二甲路,Erjia Rd.,,,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
二橋街,Erqiao St.,,,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
八德路,Bade Rd.,,縣114,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
三鶯路,Sanying Rd.,,北84,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
大湖路,Dahu Rd.,,北116、北82,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
山鶯路,Shanying Rd.,,北116,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中山路,Zhongshan Rd.,,110號公路、縣144,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中正一路,Zhongzheng 1st Rd.,,縣114,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中正二路,Zhongzheng 2nd Rd.,,北桃80號公路、縣144,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中正三路,Zhongzheng 3rd Rd.,,北桃83、北83,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中正路,Zhongzheng Rd.,,投75號公路、縣110、縣114,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中坑路,Zhongkeng Rd.,,,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
中湖街,Zhonghu St.,,北82,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
仁愛路,Ren'ai Rd.,,,新北市,鶯歌區,,街道,,,街道,,,,街道,,,,
八德路,Bade Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
三民路,Sanmin Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
中山高汐五高架道路,Zhongshan Highway Xiwu Viaduct,,國1,臺北市,松山區,,,,,街道,,,,,,,,
中山高速公路,Zhongshan Highway ,,,臺北市,松山區,,,,,街道,,,,,,,,
五常街,Wuchang St.,,,臺北市,松山區,,,,,街道,,,,,,,,
北寧路,Beining Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
市民大道,Shimin Blvd. ,,,臺北市,松山區,,,,,街道,,,,,,,,
市民大道高架道路,Shimin Blvd.Viaduct,,,臺北市,松山區,,,,,街道,,,,,,,,
民生東路,Minsheng East Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
民族東路,Minzu East Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
民權東路,Minquan East Rd.,,民權大橋,臺北市,松山區,,,,,街道,,,,,,,,
光復北路,Guangfu North Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
光復南路,Guangfu South Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
吉祥路,Jixiang Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
行善路,Xingshan Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
延吉街,Yanji St.,,,臺北市,松山區,,,,,街道,,,,,,,,
延壽街,Yanshou St.,,,臺北市,松山區,,,,,街道,,,,,,,,
東寧路,Dongning Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
東興路,Dongxing Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
松河街,Songhe St.,,,臺北市,松山區,,,,,街道,,,,,,,,
虎林街,Hulin St.,,,臺北市,松山區,,,,,街道,,,,,,,,
長安東路,Chang'an East Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
長春路,Changchun Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
南京東路,Nanjing East Rd.,,麥帥一橋,臺北市,松山區,,,,,街道,,,,,,,,
健康路,Jiankang Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
基隆路,Jilong Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
富錦街,Fujin St.,,,臺北市,松山區,,,,,街道,,,,,,,,
復興北路,Fuxing North Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
復興南路,Fuxing South Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
敦化北路,Dunhua North Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
敦化南路,Dunhua South Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
塔悠路,Tayou Rd.,,,臺北市,松山區,,,,,街道,,,,,,,,
新中街,Xinzhong St.,,,臺北市,松山區,,,,,街道,,,,,,,,
新東街,Xindong St.,,,臺北市,松山區,,,,,街道,,,,,,,,
寧安街,Ning'an St.,,,臺北市,松山區,,,,,街道,,,,,,,,
慶城街,Qingcheng St.,,,臺北市,松山區,,,,,街道,,,,,,,,
撫遠街,Fuyuan St.,,,臺北市,松山區,,,,,街道,,,,,,,,
興安街,Xing'an St.,,,臺北市,松山區,,,,,街道,,,,,,,,
濱江街,Binjiang St.,,,臺北市,松山區,,,,,街道,,,,,,,,
寶清街,Baoqing St.,,,臺北市,松山區,,,,,街道,,,,,,,,
饒河街,Raohe St.,,,臺北市,松山區,,,,,街道,,,,,,,,
八德路,Bade Rd.,,,臺北市,信義區,,,,,街道,,,,,,,,
大道路,Dadao Rd.,,,臺北市,信義區,,,,,街道,,,,,,,,
